,Æ¯ÇãÁ¦¸ñ,Æ¯ÇãÄÚµå,Àû¿ë±¹°¡,Inventor,assignee,google patent link,Ãâ¿ø³¯Â¥,pdf link,ÀÎ¿ëÈ½¼ö
88,Converter architecture,US20180301986A1,WO(2018) / WO(2016) / US(2018),Jeffrey M. Alves / Peng Wu / Yehonatan Perez / Kisun Lee / Philip Juang,Apple Inc  ,https://patents.google.com/patent/US20180301986A1/en,2018-10-18,https://patentimages.storage.googleapis.com/8d/c7/6f/3e1519646dbb6b/US20180301986A1.pdf,8
89,Systems and methods for determining an object through a disambiguated selection in a mixed reality interface,US10558037B2,WO(2017) / KR(2017) / KR(2017) / WO(2017) / US(2017) / EP(2017) / CN(2017) / EP(2017) / US(2020),Patrick S. Piemonte / Wolf Kienzle / Douglas Bowman / Shaun D. Budhram / Madhurani R. Sapre / Vyacheslav Leizerovich / Daniel De Rocha Rosario,Apple Inc  ,https://patents.google.com/patent/US10558037B2/en,2020-02-11,https://patentimages.storage.googleapis.com/1b/53/28/570cef374d017b/US10558037.pdf,13
90,Light-based devices with light guide arrays,US10860142B1,US(2016) / US(2016),Malcolm J. Northcott / Daniel E. Potter / Clarisse Mazuir / Weisong Toh / Piyush Prashant Dondeti,Apple Inc  ,https://patents.google.com/patent/US10860142B1/en,2020-12-08,https://patentimages.storage.googleapis.com/6f/14/81/03492e5a607215/US10860142.pdf,74
91,Safety belt positioning and presentation systems,US10889261B1,US(2018) / US(2018),Philipp CHAROPOULOS / Lukas Satas / John J. Baker / Jonathon R. Folks / Andrew W. Kooker,Apple Inc  ,https://patents.google.com/patent/US10889261B1/en,2021-01-12,https://patentimages.storage.googleapis.com/95/bd/88/e382e4ce589f5c/US10889261.pdf,12
92,Enabling lidar detection,US11092689B2,WO(2017) / US(2017) / WO(2017) / US(2021),Micah P. Kalscheur,Apple Inc  ,https://patents.google.com/patent/US11092689B2/en,2021-08-17,https://patentimages.storage.googleapis.com/3f/5e/a5/447b28e3d5b00a/US11092689.pdf,50
93,System and method for visual communication of an operational status,US10053001B1,US(2016) / US(2016),Bartholomeus C. Nabbe / Byron B. Han,Apple Inc  ,https://patents.google.com/patent/US10053001B1/en,2018-08-21,https://patentimages.storage.googleapis.com/ef/84/89/4eb63aaf2c2bba/US10053001.pdf,22
94,Wireless Charging Alignment Syste,US20190210480A1,WO(2019) / WO(2017) / US(2019),Jeffrey M. Alves / Zaka Ullah Zahid / Jennifer D. Pollock / Derryk C. Davis / Hunter H. Wu,Apple Inc  ,https://patents.google.com/patent/US20190210480A1/en,2019-07-11,https://patentimages.storage.googleapis.com/f4/b0/4b/76c0df425f109e/US20190210480A1.pdf,22
95,Adjusting heading sensor output based on image da,US20200348143A1,WO(2019) / US(2019) / WO(2020) / EP(2020) / CN(2020),Saurabh Godha / Hyojoon Bae / Isaac T. Miller / Robert W. Mayor,Apple Inc  ,https://patents.google.com/patent/US20200348143A1/en,2020-11-05,https://patentimages.storage.googleapis.com/20/67/6b/44c9d5f4a13ba7/US20200348143A1.pdf,22
96,Climate control,US10875380B2,WO(2015) / WO(2015) / US(2015) / EP(2015) / CN(2015) / US(2020),Derek A. Faust / Emery A. Sanford / James Foster,Apple Inc  ,https://patents.google.com/patent/US10875380B2/en,2020-12-29,https://patentimages.storage.googleapis.com/6b/e2/23/cb49f0602964b0/US10875380.pdf,11
97,,US80260635,-,-,-,https://patents.google.com/patent/US80260635/en,-,//www.google.com/,11
98,Compact optical packaging of LiDAR systems using diffractive structures behind angled interfac,US20200348418A1,CN(2020) / US(2020) / CN(2020),Andrew J. Sutton / Michael C. Wharton / Romain A. Teil,Apple Inc  ,https://patents.google.com/patent/US20200348418A1/en,2020-11-05,https://patentimages.storage.googleapis.com/20/e1/ce/f6ca741f7b2f1f/US20200348418A1.pdf,11
99,Augmented virtual display,US10482669B2,US(2017) / US(2017) / US(2017) / US(2019) / US(2020),Mark B. Rober / Sawyer I. Cohen / Daniel Kurz / Tobias Holl / Benjamin B. Lyon / Peter Georg Meier / Jeffrey M. Riepling / Holly Gerhard,Apple Inc  ,https://patents.google.com/patent/US10482669B2/en,2019-11-19,https://patentimages.storage.googleapis.com/de/f2/56/4c3105b7a7e112/US10482669.pdf,14
100,Fabric control device,US10465314B2,US(2018) / US(2018) / US(2018) / US(2019) / US(2020) / US(2020),Daniel A. Podhajny / Daniel D. Sunshine / Kathryn P. Crews,Apple Inc  ,https://patents.google.com/patent/US10465314B2/en,2019-11-05,https://patentimages.storage.googleapis.com/1d/45/ba/5181a0f1a4aec1/US10465314.pdf,19
101,Fully-actuated suspension system,US10300760B1,US(2016) / US(2016) / US(2019),Randol W. Aikin / Thaddeus Stefanov-Wagner,Apple Inc  ,https://patents.google.com/patent/US10300760B1/en,2019-05-28,https://patentimages.storage.googleapis.com/d7/ea/8c/5b919518ce63c4/US10300760.pdf,2
102,,US00314614,-,-,-,https://patents.google.com/patent/US00314614/en,-,//www.google.com/,2
103,Traffic notifications during navigation,US11100797B2,WO(2015) / US(2015) / CN(2016) / WO(2016) / EP(2016) / US(2021),Christine B. McGavran / Wesley Yue / Christopher Y. Tremblay / Supratik Maitra / Usama M. HAJJ / Brian Andrich / Eric L. Grundstrom / J. Paul McCabe / Eric J. Albert / Ameya A. Limaye / Graydon Armstrong,Apple Inc  ,https://patents.google.com/patent/US11100797B2/en,2021-08-24,https://patentimages.storage.googleapis.com/8b/25/d5/f455b8c1087ade/US11100797.pdf,36
104,System and method for road friction coefficient estimation,US10442439B1,US(2017) / US(2017),Youngwoo Seo / Randol Aikin / Kshitiz Garg,Apple Inc  ,https://patents.google.com/patent/US10442439B1/en,2019-10-15,https://patentimages.storage.googleapis.com/2b/9c/0c/694e2e35fb07e8/US10442439.pdf,70
105,Inspection method,US10217206B2,WO(2014) / US(2014) / WO(2014) / CN(2014) / JP(2014) / EP(2014),Hideki Hosaka,Fuji Corp  ,https://patents.google.com/patent/US10217206B2/en,2019-02-26,https://patentimages.storage.googleapis.com/bb/4d/2d/e3dda04ea424de/US10217206.pdf,2
106,Decision making for autonomous vehicle motion control,US10769525B2,WO(2017) / EP(2017) / WO(2017) / CN(2017) / US(2017) / US(2020),Joshua D. Redding / Luke B. Johnson / Martin Levihn / Nicolas F. Meuleau / Sebastian Brechtel,Apple Inc  ,https://patents.google.com/patent/US10769525B2/en,2020-09-08,https://patentimages.storage.googleapis.com/e1/67/28/6659c6a1dc73b9/US10769525.pdf,12
107,Concealed user interfaces,US10656777B1,US(2018) / US(2018),Catherine N. Boulanger / Felipe Bacim De Araujo E Silva / Karlin Y. Bark / Seung Wook Kim,Apple Inc  ,https://patents.google.com/patent/US10656777B1/en,2020-05-19,https://patentimages.storage.googleapis.com/2f/6d/69/bdd3d88d8b45b7/US10656777.pdf,22
108,Occupant safety systems,US10647286B1,US(2017) / US(2017) / US(2020),Nathaniel J. Dennis / Arturo Llamazares Domper / Rikard Fredriksson / Alexander M. Zoellner / Lukas Satas / Jorge C. Fialho / John J. Baker / Jesse T. Buehler / Ronald A. Bowers,Apple Inc  ,https://patents.google.com/patent/US10647286B1/en,2020-05-12,https://patentimages.storage.googleapis.com/3b/af/58/5daaf76798eb64/US10647286.pdf,19
109,Extendable bumpers for vehicles,US10343634B1,US(2017) / US(2017),"Erik Mikael Fermer / Alice C. Watts / Joel Frederic Jensen / Ronald Jack Smith / Mark B. Rober / Sung Hoon Kim / David Jennings Dostal / Russell Cranstoun Mead, Jr. / Todd Elliot Lewis / Jesse T. Buehler / Nathaniel J. Dennis / Tommaso P. Rivellini / Robert R. Mayer / Anthony S. Montevirgen / Donald J. Parr / Bryce A. Woollard / Adam J. Golman / Kevin P. Makowski / Daniel E. Rivera",FUNCTION ENGINEERING Inc/  Apple Inc  ,https://patents.google.com/patent/US10343634B1/en,2019-07-09,https://patentimages.storage.googleapis.com/66/23/d9/1b0e7b8e7d7b25/US10343634.pdf,47
110,Systems with adjustable windows,US10625580B1,US(2017) / US(2017) / US(2020),Christopher D. Jones / Ibuki Kamei / James R. Wilson / Clarisse Mazuir / John Raff / Budhadipta Dan / David E. Kingman / Martin Melcher,Apple Inc  ,https://patents.google.com/patent/US10625580B1/en,2020-04-21,https://patentimages.storage.googleapis.com/fd/e0/c6/33183c6d654d2c/US10625580.pdf,21
111,Fully-actuated suspension system,US11046143B1,US(2019) / US(2016) / US(2019),Randol W. Aikin / Thaddeus J. Stefanov-Wagner,Apple Inc  ,https://patents.google.com/patent/US11046143B1/en,2021-06-29,https://patentimages.storage.googleapis.com/b5/6e/85/cfee3a4a97a86d/US11046143.pdf,283
112,Geometry Encoding of Duplicate Poin,US20210218994A1,US(2021) / US(2021) / US(2021),David Flynn,Apple Inc  ,https://patents.google.com/patent/US20210218994A1/en,2021-07-15,https://patentimages.storage.googleapis.com/be/40/47/08cb506bfdb777/US20210218994A1.pdf,283
113,,US00258480,-,-,-,https://patents.google.com/patent/US00258480/en,-,//www.google.com/,283
114,Occupant safety systems,US11104291B1,US(2020) / US(2017) / US(2020),Nathaniel J. Dennis / Arturo Llamazares Domper / Rikard Fredriksson / Alexander M. Zoellner / Lukas Satas / Jorge C. Fialho / John J. Baker / Jesse T. Buehler / Ronald A. Bowers,Apple Inc  ,https://patents.google.com/patent/US11104291B1/en,2021-08-31,https://patentimages.storage.googleapis.com/0a/ee/e5/494a1cbad15a72/US11104291.pdf,27
115,Adaptive tensile surface,US10569672B1,US(2017) / US(2017),Andrew W. Kooker / John J. Baker / Jonathon Folks / II James G. GRIFFIN / Jun Wooung Jeong / Craig Ogden / Lukas Satas / Zachary Segraves / Ben Walker / David Yates,Apple Inc  ,https://patents.google.com/patent/US10569672B1/en,2020-02-25,https://patentimages.storage.googleapis.com/5b/37/22/6a4c24ec4a1ec1/US10569672.pdf,19
116,Predicting lidar data using machine learning,US11092690B1,US(2017) / US(2017),Peter Meier / Abhishek Sharma,Apple Inc  ,https://patents.google.com/patent/US11092690B1/en,2021-08-17,https://patentimages.storage.googleapis.com/2e/b7/46/370ee2337d1d81/US11092690.pdf,29
117,Augmented reality display,US10922886B2,WO(2017) / EP(2017) / CN(2017) / WO(2017) / US(2017) / US(2021),Patrick S. Piemonte / Daniel De Rocha Rosario / Jason D Gosnell / Peter Meier,Apple Inc  ,https://patents.google.com/patent/US10922886B2/en,2021-02-16,https://patentimages.storage.googleapis.com/39/8c/9e/aa3c032c57ba2b/US10922886.pdf,13
118,Passive-matrix light-emitting diodes on silicon micro-display,US10229630B2,US(2015) / US(2015),Kei May Lau / Zhaojun Liu / Wing Cheung Chong / Wai Keung Cho / Chu Hong Wang,Hong Kong University of Science and Technology HKUST  ,https://patents.google.com/patent/US10229630B2/en,2019-03-12,https://patentimages.storage.googleapis.com/26/93/e1/dfee130f4556ba/US10229630.pdf,37
119,Charging station with passive alignment mechanism,US10661669B1,US(2018) / US(2018) / US(2020),Matthew M. Torok / Foster D. Collins / William M. Price,Apple Inc  ,https://patents.google.com/patent/US10661669B1/en,2020-05-26,https://patentimages.storage.googleapis.com/37/bb/10/778d28beb96336/US10661669.pdf,33
120,Suspension system with locking structure,US11173766B1,US(2018) / US(2018),Jonathan L. Hall / Neal M. Lackritz / Troy A. CARTER,Apple Inc  ,https://patents.google.com/patent/US11173766B1/en,2021-11-16,https://patentimages.storage.googleapis.com/d9/9e/40/4410c44ac5790a/US11173766.pdf,326
121,Dynamic element protecti,US20200255002A1,WO(2016) / EP(2016) / US(2016) / WO(2016) / US(2021),Tie-Qi Chen / Benjamin B. Lyon / Byron B. Han / Ahmad Al-Dahle,Apple Inc  ,https://patents.google.com/patent/US20200255002A1/en,2020-08-13,https://patentimages.storage.googleapis.com/b2/36/1e/95305e9f1fd1bc/US20200255002A1.pdf,326
122,Airbag-based occupant safety system,US10919482B1,US(2020) / US(2018) / US(2020),Alexander M. Zoellner / Jorge C. Fialho / Nathaniel J. Dennis / Rikard Fredriksson,Apple Inc  ,https://patents.google.com/patent/US10919482B1/en,2021-02-16,https://patentimages.storage.googleapis.com/18/c4/95/49815b0a7debc8/US10919482.pdf,37
123,Systems and methods for hedging for different gaps in an interaction zo,US20210089041A1,WO(2020) / WO(2020) / US(2020),Ujjwal Das Gupta / Sandip Aine / Martin Levihn / Trevor P. Barron / Jamie R. Lesser,Apple Inc  ,https://patents.google.com/patent/US20210089041A1/en,2021-03-25,https://patentimages.storage.googleapis.com/f6/2f/63/1f7c4cb557beb9/US20210089041A1.pdf,37
124,Focal region optical elements for high-performance optical scanners,US10955531B2,US(2017) / US(2017),Robert S Upton / Andrew J. Sutton / Ariel Lipson / Noel Axelrod,Apple Inc  ,https://patents.google.com/patent/US10955531B2/en,2021-03-23,https://patentimages.storage.googleapis.com/a5/d8/fc/612a67ded89f5f/US10955531.pdf,25
125,Electronic device with a tunable lens,US10852553B2,WO(2019) / US(2019) / WO(2019) / EP(2019) / KR(2019) / JP(2019) / CN(2019) / US(2020),James E. Pedder / Igor Stamenov / Cheng Chen / EnkhAmgalan Dorjgotov / Graham B. Myhre / Victoria C. Chan / Xiaonan Wen / Peng LV / Yuan Li / Yu Horie / Siddharth S. Hazra,Apple Inc  ,https://patents.google.com/patent/US10852553B2/en,2020-12-01,https://patentimages.storage.googleapis.com/d3/40/4a/28d44cf481ea8c/US10852553.pdf,20
126,Systems for improving side-mirror functionality of a vehicle,US10486600B1,US(2016) / US(2016),David G. Havskjold / Arthur Y. Zhang / Hyungryul Choi / Matthew E. LAST / Clarisse Mazuir,Apple Inc  ,https://patents.google.com/patent/US10486600B1/en,2019-11-26,https://patentimages.storage.googleapis.com/1b/18/33/cdf52f0d731622/US10486600.pdf,27
127,Extendable bumpers for vehicles,US10336290B1,US(2016) / US(2016) / US(2019),Juan A. Lazaro / Erik Mikael Fermer / Alice C. Watts / Tommaso P. Rivellini / Christian Schermaier / John Raff / Derek C. Scott / David E. Kingman / Bryce A. Woollard / Samuel G. Fowle / Mark B. Rober / Ibuki Kamei / Donald R. Monroe / Jesse T. Buehler / Paul D. Yeomans,Apple Inc  ,https://patents.google.com/patent/US10336290B1/en,2019-07-02,https://patentimages.storage.googleapis.com/f2/88/47/1c94aabb231899/US10336290.pdf,17
128,Automatically grouping accessories,US11003147B2,US(2016) / US(2016),Benjamin A. Smith / Reed Olsen / Kevin McLaughlin / Anush Nadathur,Apple Inc  ,https://patents.google.com/patent/US11003147B2/en,2021-05-11,https://patentimages.storage.googleapis.com/a5/5f/51/c98e92f59788f5/US11003147.pdf,68
129,Windows with heatable infrared-transparent areas,US10827564B1,US(2017) / US(2017),James R. Wilson,Apple Inc  ,https://patents.google.com/patent/US10827564B1/en,2020-11-03,https://patentimages.storage.googleapis.com/df/bb/75/c9262fb0bb00ce/US10827564.pdf,8
130,Augmented reality display syst,US20200258480A1,WO(2016) / WO(2016) / CN(2016) / US(2016) / EP(2016) / EP(2016) / US(2021),Kjell F. Bronder / Scott M. Herz / Karlin Y. Bark,Apple Inc  ,https://patents.google.com/patent/US20200258480A1/en,2020-08-13,https://patentimages.storage.googleapis.com/40/b8/06/c64a161febbb58/US20200258480A1.pdf,8
131,Color filter array for machine vision syst,US20180088588A1,WO(2017) / WO(2017) / US(2017),Lucian Ion / Mahesh Krishnamurthy,Apple Inc  ,https://patents.google.com/patent/US20180088588A1/en,2018-03-29,https://patentimages.storage.googleapis.com/0e/cf/13/8bcc71f3bff573/US20180088588A1.pdf,8
132,Climate control system with slit-vent fluid delivery,US10752082B1,US(2017) / US(2017),John M. Kearney / Clarisse Mazuir / Arthur Y. Zhang / Samuel B. Schaevitz,Apple Inc  ,https://patents.google.com/patent/US10752082B1/en,2020-08-25,https://patentimages.storage.googleapis.com/ed/79/05/3e3d061c7b8392/US10752082.pdf,16
133,Hinge with feedback,US10415286B1,US(2017) / US(2017),John A. PORCELLA / Michael A. Damianakis / Robert L. Coish / Matthew B. Frazer,Apple Inc  ,https://patents.google.com/patent/US10415286B1/en,2019-09-17,https://patentimages.storage.googleapis.com/26/81/07/4473a85c46224e/US10415286.pdf,20
134,Systems and methods for locating mobile devices within a vehicle,US10555133B1,US(2017) / US(2017) / US(2020) / US(2021),Sawyer I. Cohen / Jack J. WANDERMAN / Romain A. Teil / Scott M. Herz,Apple Inc  ,https://patents.google.com/patent/US10555133B1/en,2020-02-04,https://patentimages.storage.googleapis.com/77/12/a9/87acdfa7a707b2/US10555133.pdf,12
135,Augmented safety restraint,US10189434B1,US(2016) / US(2016),Daniele Casaburo / Daniel Kurz / Sebastian Knorr,Apple Inc  ,https://patents.google.com/patent/US10189434B1/en,2019-01-29,https://patentimages.storage.googleapis.com/eb/92/cb/d5a6654142b224/US10189434.pdf,24
136,Traffic direction gesture recognition,US20180082134A1,WO(2017) / US(2017) / WO(2017),Sayanan V. Sivaraman,Apple Inc  ,https://patents.google.com/patent/US20180082134A1/en,2018-03-22,https://patentimages.storage.googleapis.com/0f/88/d2/a243eab12887e2/US20180082134A1.pdf,4
137,Braking system control state transitions,US10661764B1,US(2018) / US(2018),Diomidis KATZOURAKIS / Huibert Mees / Robert M. Cammarata,Apple Inc  ,https://patents.google.com/patent/US10661764B1/en,2020-05-26,https://patentimages.storage.googleapis.com/70/f3/e6/a17b1eb8359055/US10661764.pdf,30
138,Windshield area intrusion control,US11021126B1,US(2018) / US(2018),Alexander M. Zoellner / Arturo Llamazares Domper / Christopher D. Jones / David E. Kingman / Derek C. Scott / Jesse T. Buehler / Rikard Fredriksson / Stephen B. Lynch,Apple Inc  ,https://patents.google.com/patent/US11021126B1/en,2021-06-01,https://patentimages.storage.googleapis.com/f0/10/fd/5f4b644eec6720/US11021126.pdf,92
139,Suspension architecture for steer-by-wire vehicle,US10351162B1,US(2017) / US(2017),Diomidis KATZOURAKIS / Huibert Mees / Johannes A. Huennekens / Robin A. Auckland / Paul W. Choin,Apple Inc  ,https://patents.google.com/patent/US10351162B1/en,2019-07-16,https://patentimages.storage.googleapis.com/8f/92/13/0c13b73937f682/US10351162.pdf,11
140,Redundant vehicle actuator system,US11046330B1,US(2017) / US(2017),Diomidis KATZOURAKIS / Huibert Mees / Robert M. Cammarata / Bo Guo,Apple Inc  ,https://patents.google.com/patent/US11046330B1/en,2021-06-29,https://patentimages.storage.googleapis.com/03/9e/c1/8a5fb9a890264e/US11046330.pdf,10
141,,US90118610,-,-,-,https://patents.google.com/patent/US90118610/en,-,//www.google.com/,10
142,Passenger vehicle door and window,US10286761B1,US(2017) / US(2017),John Raff / Donald R. Monroe,Apple Inc  ,https://patents.google.com/patent/US10286761B1/en,2019-05-14,https://patentimages.storage.googleapis.com/04/0e/66/f1231a53c3055d/US10286761B1.pdf,34
143,Systems and methods for locating mobile devices within a vehicle,US11006257B2,US(2020) / US(2017) / US(2020) / US(2021),Sawyer I. Cohen / Jack J. WANDERMAN / Romain A. Teil / Scott M. Herz,Apple Inc  ,https://patents.google.com/patent/US11006257B2/en,2021-05-11,https://patentimages.storage.googleapis.com/e9/bd/9c/eea301c093c3cb/US11006257.pdf,23
